,0,tags_normal,descr_normal,final-1_tag_normal,inverted,tags_inverted,descr_inverted,first_tag_inverted
40,The animals went to the cage.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The animals] [V: went] [ARG4: to the cage] .,ARG4,"To the cage, the animals went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the cage] , [ARG0: the animals] [V: went] .",ARG4
41,The men went to the cage.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The men] [V: went] [ARG4: to the cage] .,ARG4,"To the cage, the men went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the cage] , [ARG0: the men] [V: went] .",ARG4
42,The boys went to the building.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The boys] [V: went] [ARG4: to the building] .,ARG4,"To the building, the boys went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the building] , [ARG0: the boys] [V: went] .",ARG4
43,The men went to the future.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The men] [V: went] [ARG4: to the future] .,ARG4,"To the future, the men went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the future] , [ARG0: the men] [V: went] .",ARG4
44,The boys went to the wedding.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The boys] [V: went] [ARG4: to the wedding] .,ARG4,"To the wedding, the boys went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the wedding] , [ARG0: the boys] [V: went] .",ARG4
45,The men went to the classroom.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The men] [V: went] [ARG4: to the classroom] .,ARG4,"To the classroom, the men went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the classroom] , [ARG0: the men] [V: went] .",ARG4
46,The women went to the wedding.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The women] [V: went] [ARG4: to the wedding] .,ARG4,"To the wedding, the women went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the wedding] , [ARG0: the women] [V: went] .",ARG4
47,The animals went to the tent.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The animals] [V: went] [ARG4: to the tent] .,ARG4,"To the tent, the animals went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the tent] , [ARG0: the animals] [V: went] .",ARG4
48,The girls went to the future.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The girls] [V: went] [ARG4: to the future] .,ARG4,"To the future, the girls went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the future] , [ARG0: the girls] [V: went] .",ARG4
49,The animals went to the tent.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The animals] [V: went] [ARG4: to the tent] .,ARG4,"To the tent, the animals went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the tent] , [ARG0: the animals] [V: went] .",ARG4
50,The boys went to the building.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The boys] [V: went] [ARG4: to the building] .,ARG4,"To the building, the boys went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the building] , [ARG0: the boys] [V: went] .",ARG4
51,The boys went to the building.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The boys] [V: went] [ARG4: to the building] .,ARG4,"To the building, the boys went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the building] , [ARG0: the boys] [V: went] .",ARG4
52,The animals went to the classroom.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The animals] [V: went] [ARG4: to the classroom] .,ARG4,"To the classroom, the animals went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the classroom] , [ARG0: the animals] [V: went] .",ARG4
53,The boys went to the future.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The boys] [V: went] [ARG4: to the future] .,ARG4,"To the future, the boys went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the future] , [ARG0: the boys] [V: went] .",ARG4
54,The horses went to the past.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The horses] [V: went] [ARG4: to the past] .,ARG4,"To the past, the horses went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the past] , [ARG0: the horses] [V: went] .",ARG4
55,The women went to the future.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The women] [V: went] [ARG4: to the future] .,ARG4,"To the future, the women went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the future] , [ARG0: the women] [V: went] .",ARG4
56,The horses went to the funeral.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The horses] [V: went] [ARG4: to the funeral] .,ARG4,"To the funeral, the horses went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the funeral] , [ARG0: the horses] [V: went] .",ARG4
57,The animals went to the future.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The animals] [V: went] [ARG4: to the future] .,ARG4,"To the future, the animals went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the future] , [ARG0: the animals] [V: went] .",ARG4
58,The horses went to the future.,"['B-ARG1', 'I-ARG1', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG1: The horses] [V: went] [ARG4: to the future] .,ARG4,"To the future, the horses went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the future] , [ARG0: the horses] [V: went] .",ARG4
59,The girls went to the building.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The girls] [V: went] [ARG4: to the building] .,ARG4,"To the building, the girls went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the building] , [ARG0: the girls] [V: went] .",ARG4
60,The boys went to the park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The boys] [V: went] [ARG4: to the park] .,ARG4,"To the park, the boys went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the park] , [ARG0: the boys] [V: went] .",ARG4
61,The animals went to the park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The animals] [V: went] [ARG4: to the park] .,ARG4,"To the park, the animals went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the park] , [ARG0: the animals] [V: went] .",ARG4
62,The boys went to the building.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The boys] [V: went] [ARG4: to the building] .,ARG4,"To the building, the boys went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the building] , [ARG0: the boys] [V: went] .",ARG4
63,The girls went to the park.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The girls] [V: went] [ARG4: to the park] .,ARG4,"To the park, the girls went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the park] , [ARG0: the girls] [V: went] .",ARG4
64,The boys went to the party.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The boys] [V: went] [ARG4: to the party] .,ARG4,"To the party, the boys went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the party] , [ARG0: the boys] [V: went] .",ARG4
65,The men went to the classroom.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The men] [V: went] [ARG4: to the classroom] .,ARG4,"To the classroom, the men went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the classroom] , [ARG0: the men] [V: went] .",ARG4
66,The horses went to the funeral.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The horses] [V: went] [ARG4: to the funeral] .,ARG4,"To the funeral, the horses went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the funeral] , [ARG0: the horses] [V: went] .",ARG4
67,The women went to the classroom.,"['B-ARG0', 'I-ARG0', 'B-V', 'B-ARG4', 'I-ARG4', 'I-ARG4', 'O']",[ARG0: The women] [V: went] [ARG4: to the classroom] .,ARG4,"To the classroom, the women went.","['B-ARG4', 'I-ARG4', 'I-ARG4', 'O', 'B-ARG0', 'I-ARG0', 'B-V', 'O']","[ARG4: To the classroom] , [ARG0: the women] [V: went] .",ARG4
