,0,pp_tag,pp_descr,1
116,I smelled the bathroom sink with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: smelled] [ARG1: the bathroom sink with my nose] .,I-ARG1
117,I smelled the standing lamp with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the standing lamp] [ARGM-MNR: with my nose] .,I-ARGM-MNR
118,I smelled the power outlet with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: smelled] [ARG1: the power outlet with my nose] .,I-ARG1
119,I smelled the teapot with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: smelled] [ARG1: the teapot with my nose] .,I-ARG1
120,I smelled the stapler with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: smelled] [ARG1: the stapler with my nose] .,I-ARG1
122,I smelled the tape dispenser with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: smelled] [ARG1: the tape dispenser with my nose] .,I-ARG1
123,I smelled the dresser with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the dresser] [ARGM-MNR: with my nose] .,I-ARGM-MNR
125,I smelled the orange juice box with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: smelled] [ARG1: the orange juice box with my nose] .,I-ARG1
130,I smelled the knife with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the knife] [ARGM-MNR: with my nose] .,I-ARGM-MNR
131,I smelled the clothespin with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: smelled] [ARG1: the clothespin with my nose] .,I-ARG1
133,I smelled the rolling office chair with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: smelled] [ARG1: the rolling office chair with my nose] .,I-ARG1
135,I smelled the spoon with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the spoon] [ARGM-MNR: with my nose] .,I-ARGM-MNR
136,I smelled the toilet with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the toilet] [ARGM-MNR: with my nose] .,I-ARGM-MNR
138,I smelled the iron with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: smelled] [ARG1: the iron with my nose] .,I-ARG1
140,I smelled the refrigerator with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the refrigerator] [ARGM-MNR: with my nose] .,I-ARGM-MNR
143,I smelled the umbrella with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: smelled] [ARG1: the umbrella with my nose] .,I-ARG1
145,I smelled the stove with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the stove] [ARGM-MNR: with my nose] .,I-ARGM-MNR
147,I smelled the ornate mirror with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: smelled] [ARG1: the ornate mirror with my nose] .,I-ARG1
150,I smelled the plush chair with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: smelled] [ARG1: the plush chair with my nose] .,I-ARG1
152,I smelled the spray bottle with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: smelled] [ARG1: the spray bottle with my nose] .,I-ARG1
153,I smelled the baby bottle with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: smelled] [ARG1: the baby bottle with my nose] .,I-ARG1
169,I smelled the telephone with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: smelled] [ARG1: the telephone with my nose] .,I-ARG1
172,I smelled the coffeepot with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: smelled] [ARG1: the coffeepot with my nose] .,I-ARG1
183,I smelled the shoe with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the shoe] [ARGM-MNR: with my nose] .,I-ARGM-MNR
186,I smelled the soap dispenser with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: smelled] [ARG1: the soap dispenser with my nose] .,I-ARG1
200,I heard the coffee table with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: heard] [ARG1: the coffee table with my ears] .,I-ARG1
201,I heard the toothpaste with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: heard] [ARG1: the toothpaste] [ARGM-MNR: with my ears] .,I-ARGM-MNR
202,I heard the wooden chair with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: heard] [ARG1: the wooden chair with my ears] .,I-ARG1
203,I heard the teapot with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: heard] [ARG1: the teapot with my ears] .,I-ARG1
204,I heard the shoe with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: heard] [ARG1: the shoe] [ARGM-MNR: with my ears] .,I-ARGM-MNR
206,I heard the toothbrush with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: heard] [ARG1: the toothbrush with my ears] .,I-ARG1
207,I heard the plush chair with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: heard] [ARG1: the plush chair with my ears] .,I-ARG1
208,I heard the pliers with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: heard] [ARG1: the pliers with my ears] .,I-ARG1
209,I heard the bathroom sink with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: heard] [ARG1: the bathroom sink with my ears] .,I-ARG1
210,I heard the briefcase with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: heard] [ARG1: the briefcase] [ARGM-MNR: with my ears] .,I-ARGM-MNR
211,I heard the ornate mirror with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: heard] [ARG1: the ornate mirror with my ears] .,I-ARG1
213,I heard the stove with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: heard] [ARG1: the stove] [ARGM-MNR: with my ears] .,I-ARGM-MNR
214,I heard the spray bottle with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: heard] [ARG1: the spray bottle with my ears] .,I-ARG1
216,I heard the coffee mug with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: heard] [ARG1: the coffee mug with my ears] .,I-ARG1
218,I heard the baby bottle with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: heard] [ARG1: the baby bottle with my ears] .,I-ARG1
219,I heard the dresser with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: heard] [ARG1: the dresser] [ARGM-MNR: with my ears] .,I-ARGM-MNR
220,I heard the knife with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARG2', 'I-ARG2', 'I-ARG2', 'O']",[ARG0: I] [V: heard] [ARG1: the knife] [ARG2: with my ears] .,I-ARG2
221,I heard the footstool with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: heard] [ARG1: the footstool with my ears] .,I-ARG1
224,I heard the clothespin with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: heard] [ARG1: the clothespin with my ears] .,I-ARG1
227,I heard the orange juice box with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: heard] [ARG1: the orange juice box with my ears] .,I-ARG1
228,I heard the standing lamp with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: heard] [ARG1: the standing lamp with my ears] .,I-ARG1
230,I heard the milk jug with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: heard] [ARG1: the milk jug with my ears] .,I-ARG1
231,I heard the rolling office chair with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: heard] [ARG1: the rolling office chair with my ears] .,I-ARG1
232,I heard the hammer with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: heard] [ARG1: the hammer with my ears] .,I-ARG1
235,I heard the kitchen table with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: heard] [ARG1: the kitchen table with my ears] .,I-ARG1
237,I heard the telephone with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: heard] [ARG1: the telephone with my ears] .,I-ARG1
238,I heard the stapler with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: heard] [ARG1: the stapler with my ears] .,I-ARG1
239,I heard the toilet with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: heard] [ARG1: the toilet] [ARGM-MNR: with my ears] .,I-ARGM-MNR
240,I heard the umbrella with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: heard] [ARG1: the umbrella with my ears] .,I-ARG1
241,I heard the tape dispenser with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: heard] [ARG1: the tape dispenser with my ears] .,I-ARG1
