,0,pp_tag,pp_descr,1
11,I saw the spray bottle with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the spray bottle] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
12,I saw the wooden chair with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the wooden chair] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
13,I saw the umbrella with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the umbrella] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
14,I saw the teapot with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the teapot] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
15,I saw the power outlet with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the power outlet] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
20,I saw the coffee mug with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the coffee mug] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
21,I saw the dresser with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the dresser] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
24,I saw the desk lamp with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the desk lamp] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
28,I saw the toothpaste with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the toothpaste] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
29,I saw the sofa with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the sofa] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
30,I saw the briefcase with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the briefcase] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
32,I saw the iron with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the iron] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
35,I saw the bathtub with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the bathtub] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
36,I saw the stove with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the stove] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
37,I saw the fork with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the fork] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
40,I saw the baby bottle with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the baby bottle] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
43,I saw the stapler with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the stapler] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
46,I saw the spoon with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the spoon] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
48,I saw the teacup with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the teacup] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
52,I saw the plush chair with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the plush chair] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
53,I saw the toilet with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the toilet] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
65,I saw the shoe with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the shoe] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
70,I saw the ornate mirror with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: saw] [ARG1: the ornate mirror with my eyes] .,I-ARG1
75,I saw the bathroom sink with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the bathroom sink] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
83,I saw the kitchen table with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the kitchen table] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
98,I saw the clothespin with my eyes.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: saw] [ARG1: the clothespin] [ARGM-MNR: with my eyes] .,I-ARGM-MNR
100,I smelled the sofa with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the sofa] [ARGM-MNR: with my nose] .,I-ARGM-MNR
101,I smelled the book with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the book] [ARGM-MNR: with my nose] .,I-ARGM-MNR
102,I smelled the footstool with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the footstool] [ARGM-MNR: with my nose] .,I-ARGM-MNR
103,I smelled the bathtub with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the bathtub] [ARGM-MNR: with my nose] .,I-ARGM-MNR
104,I smelled the teacup with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the teacup] [ARGM-MNR: with my nose] .,I-ARGM-MNR
105,I smelled the kitchen table with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the kitchen table] [ARGM-MNR: with my nose] .,I-ARGM-MNR
106,I smelled the toothpaste with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the toothpaste] [ARGM-MNR: with my nose] .,I-ARGM-MNR
107,I smelled the wooden chair with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the wooden chair] [ARGM-MNR: with my nose] .,I-ARGM-MNR
108,I smelled the hammer with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the hammer] [ARGM-MNR: with my nose] .,I-ARGM-MNR
110,I smelled the toothbrush with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the toothbrush] [ARGM-MNR: with my nose] .,I-ARGM-MNR
111,I smelled the coffee table with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the coffee table] [ARGM-MNR: with my nose] .,I-ARGM-MNR
112,I smelled the briefcase with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the briefcase] [ARGM-MNR: with my nose] .,I-ARGM-MNR
114,I smelled the fork with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the fork] [ARGM-MNR: with my nose] .,I-ARGM-MNR
115,I smelled the pliers with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the pliers] [ARGM-MNR: with my nose] .,I-ARGM-MNR
116,I smelled the bathroom sink with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the bathroom sink] [ARGM-MNR: with my nose] .,I-ARGM-MNR
117,I smelled the standing lamp with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the standing lamp] [ARGM-MNR: with my nose] .,I-ARGM-MNR
118,I smelled the power outlet with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the power outlet] [ARGM-MNR: with my nose] .,I-ARGM-MNR
119,I smelled the teapot with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the teapot] [ARGM-MNR: with my nose] .,I-ARGM-MNR
120,I smelled the stapler with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the stapler] [ARGM-MNR: with my nose] .,I-ARGM-MNR
122,I smelled the tape dispenser with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the tape dispenser] [ARGM-MNR: with my nose] .,I-ARGM-MNR
123,I smelled the dresser with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the dresser] [ARGM-MNR: with my nose] .,I-ARGM-MNR
125,I smelled the orange juice box with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the orange juice box] [ARGM-MNR: with my nose] .,I-ARGM-MNR
130,I smelled the knife with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARG2', 'I-ARG2', 'I-ARG2', 'O']",[ARG0: I] [V: smelled] [ARG1: the knife] [ARG2: with my nose] .,I-ARG2
131,I smelled the clothespin with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the clothespin] [ARGM-MNR: with my nose] .,I-ARGM-MNR
133,I smelled the rolling office chair with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the rolling office chair] [ARGM-MNR: with my nose] .,I-ARGM-MNR
135,I smelled the spoon with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the spoon] [ARGM-MNR: with my nose] .,I-ARGM-MNR
136,I smelled the toilet with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the toilet] [ARGM-MNR: with my nose] .,I-ARGM-MNR
138,I smelled the iron with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the iron] [ARGM-MNR: with my nose] .,I-ARGM-MNR
140,I smelled the refrigerator with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the refrigerator] [ARGM-MNR: with my nose] .,I-ARGM-MNR
143,I smelled the umbrella with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the umbrella] [ARGM-MNR: with my nose] .,I-ARGM-MNR
145,I smelled the stove with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the stove] [ARGM-MNR: with my nose] .,I-ARGM-MNR
147,I smelled the ornate mirror with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the ornate mirror] [ARGM-MNR: with my nose] .,I-ARGM-MNR
150,I smelled the plush chair with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the plush chair] [ARGM-MNR: with my nose] .,I-ARGM-MNR
152,I smelled the spray bottle with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the spray bottle] [ARGM-MNR: with my nose] .,I-ARGM-MNR
153,I smelled the baby bottle with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the baby bottle] [ARGM-MNR: with my nose] .,I-ARGM-MNR
169,I smelled the telephone with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the telephone] [ARGM-MNR: with my nose] .,I-ARGM-MNR
172,I smelled the coffeepot with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the coffeepot] [ARGM-MNR: with my nose] .,I-ARGM-MNR
183,I smelled the shoe with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the shoe] [ARGM-MNR: with my nose] .,I-ARGM-MNR
186,I smelled the soap dispenser with my nose.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: smelled] [ARG1: the soap dispenser] [ARGM-MNR: with my nose] .,I-ARGM-MNR
200,I heard the coffee table with my ears.,"['B-ARG0', 'B-V', 'B-ARG2', 'I-ARG2', 'I-ARG2', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: heard] [ARG2: the coffee table] [ARGM-MNR: with my ears] .,I-ARGM-MNR
201,I heard the toothpaste with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: heard] [ARG1: the toothpaste with my ears] .,I-ARG1
202,I heard the wooden chair with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: heard] [ARG1: the wooden chair] [ARGM-MNR: with my ears] .,I-ARGM-MNR
203,I heard the teapot with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: heard] [ARG1: the teapot] [ARGM-MNR: with my ears] .,I-ARGM-MNR
204,I heard the shoe with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: heard] [ARG1: the shoe] [ARGM-MNR: with my ears] .,I-ARGM-MNR
206,I heard the toothbrush with my ears.,"['B-ARG0', 'B-V', 'B-ARG2', 'I-ARG2', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: heard] [ARG2: the toothbrush] [ARG1: with my ears] .,I-ARG1
207,I heard the plush chair with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: heard] [ARG1: the plush chair] [ARGM-MNR: with my ears] .,I-ARGM-MNR
208,I heard the pliers with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: heard] [ARG1: the pliers] [ARGM-MNR: with my ears] .,I-ARGM-MNR
209,I heard the bathroom sink with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: heard] [ARG1: the bathroom sink] [ARGM-MNR: with my ears] .,I-ARGM-MNR
210,I heard the briefcase with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: heard] [ARG1: the briefcase] [ARGM-MNR: with my ears] .,I-ARGM-MNR
211,I heard the ornate mirror with my ears.,"['B-ARG0', 'B-V', 'B-ARG2', 'I-ARG2', 'I-ARG2', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: heard] [ARG2: the ornate mirror] [ARG1: with my ears] .,I-ARG1
213,I heard the stove with my ears.,"['B-ARG0', 'B-V', 'B-ARG2', 'I-ARG2', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: heard] [ARG2: the stove] [ARGM-MNR: with my ears] .,I-ARGM-MNR
214,I heard the spray bottle with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'I-ARG1', 'O']",[ARG0: I] [V: heard] [ARG1: the spray bottle with my ears] .,I-ARG1
216,I heard the coffee mug with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: heard] [ARG1: the coffee mug] [ARGM-MNR: with my ears] .,I-ARGM-MNR
218,I heard the baby bottle with my ears.,"['B-ARG0', 'B-V', 'B-ARG1', 'I-ARG1', 'I-ARG1', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: heard] [ARG1: the baby bottle] [ARGM-MNR: with my ears] .,I-ARGM-MNR
219,I heard the dresser with my ears.,"['B-ARG0', 'B-V', 'B-ARG2', 'I-ARG2', 'B-ARGM-MNR', 'I-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG0: I] [V: heard] [ARG2: the dresser] [ARGM-MNR: with my ears] .,I-ARGM-MNR
