,original,switched,tags_original,descr_original,tags_switched,descr_switched,final-1_arg_original,first_arg_switch,orginal_switched_match
10,I wont eat that choc.,"That choc, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that choc] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That choc] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
11,I wont eat that ashcake.,"That ashcake, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that ashcake] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That ashcake] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
12,I wont eat that dowdy.,"That dowdy, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that dowdy] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That dowdy] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
13,I wont eat that velveeta.,"That velveeta, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that velveeta] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That velveeta] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
14,I wont eat that buttercrunch.,"That buttercrunch, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that buttercrunch] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That buttercrunch] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
15,I wont eat that rib.,"That rib, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that rib] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That rib] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
16,I wont eat that kitambilla.,"That kitambilla, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that kitambilla] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That kitambilla] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
17,I wont eat that souse.,"That souse, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that souse] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That souse] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
18,I wont eat that fedelline.,"That fedelline, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that fedelline] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That fedelline] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
19,I wont eat that emperor.,"That emperor, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that emperor] .,"['B-ARGM-DIS', 'I-ARGM-DIS', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARGM-DIS: That emperor] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARGM-DIS,False
20,I wont eat that sugarloaf.,"That sugarloaf, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that sugarloaf] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That sugarloaf] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
21,I wont eat that pitahaya.,"That pitahaya, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that pitahaya] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That pitahaya] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
22,I wont eat that gigot.,"That gigot, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that gigot] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That gigot] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
23,I wont eat that brat.,"That brat, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that brat] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That brat] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
24,I wont eat that mammee.,"That mammee, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that mammee] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That mammee] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
25,I wont eat that pawpaw.,"That pawpaw, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that pawpaw] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That pawpaw] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
26,I wont eat that cayenne.,"That cayenne, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that cayenne] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That cayenne] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
27,I wont eat that dove.,"That dove, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that dove] .,"['B-ARGM-DIS', 'I-ARGM-DIS', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARGM-DIS: That dove] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARGM-DIS,False
28,I wont eat that shaddock.,"That shaddock, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that shaddock] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That shaddock] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
29,I wont eat that eel.,"That eel, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that eel] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That eel] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
30,I wont eat that pufferfish.,"That pufferfish, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that pufferfish] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That pufferfish] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
31,I wont eat that scorzonera.,"That scorzonera, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that scorzonera] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That scorzonera] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
32,I wont eat that chapatti.,"That chapatti, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that chapatti] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That chapatti] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
33,I wont eat that rusk.,"That rusk, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that rusk] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That rusk] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
34,I wont eat that carbonado.,"That carbonado, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that carbonado] .,"['B-ARGM-DIS', 'I-ARGM-DIS', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARGM-DIS: That carbonado] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARGM-DIS,False
35,I wont eat that papaya.,"That papaya, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that papaya] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That papaya] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
36,I wont eat that brisket.,"That brisket, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that brisket] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That brisket] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
37,I wont eat that pike.,"That pike, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that pike] .,"['B-ARGM-ADV', 'O', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARGM-ADV: That] pike , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARGM-ADV,False
38,I wont eat that cruller.,"That cruller, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that cruller] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That cruller] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
39,I wont eat that fugu.,"That fugu, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that fugu] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That fugu] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
40,I wont eat that shrimp.,"That shrimp, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that shrimp] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That shrimp] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
41,I wont eat that fruitcake.,"That fruitcake, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that fruitcake] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That fruitcake] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
42,I wont eat that chine.,"That chine, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that chine] .,"['B-ARGM-ADV', 'I-ARGM-ADV', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARGM-ADV: That chine] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARGM-ADV,False
43,I wont eat that cuke.,"That cuke, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that cuke] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That cuke] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
44,I wont eat that bratwurst.,"That bratwurst, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that bratwurst] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That bratwurst] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
45,I wont eat that mushroom.,"That mushroom, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that mushroom] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That mushroom] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
46,I wont eat that sweetbreads.,"That sweetbreads, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that sweetbreads] .,"['O', 'O', 'O', 'O', 'B-V', 'O', 'O', 'O']","That sweetbreads , I [V: wo] nt eat .",ARG1,O,False
47,I wont eat that rump.,"That rump, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that rump] .,"['B-ARGM-DIS', 'I-ARGM-DIS', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARGM-DIS: That rump] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARGM-DIS,False
48,I wont eat that rack.,"That rack, I wont eat.","['B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'B-ARG1', 'I-ARG1', 'O']",[ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] [ARG1: that rack] .,"['B-ARG1', 'I-ARG1', 'O', 'B-ARG0', 'B-ARGM-MOD', 'B-ARGM-NEG', 'B-V', 'O']","[ARG1: That rack] , [ARG0: I] [ARGM-MOD: wo] [ARGM-NEG: nt] [V: eat] .",ARG1,ARG1,True
