,0,active,tags_act,descr_act,tags_pass,descr_pass,first_tag_act,final_min_one_pass,arg0_match
25,Patricia is shot by Don.,Don shoots Patricia.,"['B-ARG1', 'B-V', 'B-ARG2', 'O']",[ARG1: Don] [V: shoots] [ARG2: Patricia] .,"['B-ARG1', 'O', 'B-V', 'B-ARG2', 'I-ARG2', 'O']",[ARG1: Patricia] is [V: shot] [ARG2: by Don] .,ARG1,ARG2,False
26,Robin is shot by Dan.,Dan shoots Robin.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Dan] [V: shoots] [ARG1: Robin] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Robin] is [V: shot] [ARG0: by Dan] .,ARG0,ARG0,True
27,Kelly is shot by Ken.,Ken shoots Kelly.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Ken] [V: shoots] [ARG1: Kelly] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Kelly] is [V: shot] [ARG0: by Ken] .,ARG0,ARG0,True
28,Bob is shot by Arthur.,Arthur shoots Bob.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Arthur] [V: shoots] [ARG1: Bob] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Bob] is [V: shot] [ARG0: by Arthur] .,ARG0,ARG0,True
29,Martha is shot by Mike.,Mike shoots Martha.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Mike] [V: shoots] [ARG1: Martha] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Martha] is [V: shot] [ARG0: by Mike] .,ARG0,ARG0,True
30,Charles is shot by Marie.,Marie shoots Charles.,"['B-ARG1', 'B-V', 'B-ARGM-DIS', 'O']",[ARG1: Marie] [V: shoots] [ARGM-DIS: Charles] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Charles] is [V: shot] [ARG0: by Marie] .,ARG1,ARG0,False
31,Marie is shot by Paul.,Paul shoots Marie.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Paul] [V: shoots] [ARG1: Marie] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Marie] is [V: shot] [ARG0: by Paul] .,ARG0,ARG0,True
32,Julia is shot by Stephen.,Stephen shoots Julia.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Stephen] [V: shoots] [ARG1: Julia] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Julia] is [V: shot] [ARG0: by Stephen] .,ARG0,ARG0,True
33,Paul is shot by Adam.,Adam shoots Paul.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Adam] [V: shoots] [ARG1: Paul] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Paul] is [V: shot] [ARG0: by Adam] .,ARG0,ARG0,True
34,Rebecca is shot by Simon.,Simon shoots Rebecca.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Simon] [V: shoots] [ARG1: Rebecca] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Rebecca] is [V: shot] [ARG0: by Simon] .,ARG0,ARG0,True
35,Lynn is shot by Angela.,Angela shoots Lynn.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Angela] [V: shoots] [ARG1: Lynn] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Lynn] is [V: shot] [ARG0: by Angela] .,ARG0,ARG0,True
36,Elizabeth is shot by Benjamin.,Benjamin shoots Elizabeth.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Benjamin] [V: shoots] [ARG1: Elizabeth] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Elizabeth] is [V: shot] [ARG0: by Benjamin] .,ARG0,ARG0,True
37,Keith is shot by Evelyn.,Evelyn shoots Keith.,"['B-ARG1', 'B-V', 'B-ARG2', 'O']",[ARG1: Evelyn] [V: shoots] [ARG2: Keith] .,"['B-ARG1', 'O', 'B-V', 'B-ARGM-TMP', 'I-ARGM-TMP', 'O']",[ARG1: Keith] is [V: shot] [ARGM-TMP: by Evelyn] .,ARG1,ARGM-TMP,False
38,Julie is shot by Charlotte.,Charlotte shoots Julie.,"['B-ARG1', 'B-V', 'B-ARG2', 'O']",[ARG1: Charlotte] [V: shoots] [ARG2: Julie] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Julie] is [V: shot] [ARG0: by Charlotte] .,ARG1,ARG0,False
39,Sophie is shot by Mary.,Mary shoots Sophie.,"['B-ARG0', 'B-V', 'B-ARGM-DIR', 'O']",[ARG0: Mary] [V: shoots] [ARGM-DIR: Sophie] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Sophie] is [V: shot] [ARG0: by Mary] .,ARG0,ARG0,True
40,Sara is shot by Jerry.,Jerry shoots Sara.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Jerry] [V: shoots] [ARG1: Sara] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Sara] is [V: shot] [ARG0: by Jerry] .,ARG0,ARG0,True
41,Rose is shot by Judy.,Judy shoots Rose.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Judy] [V: shoots] [ARG1: Rose] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Rose] is [V: shot] [ARG0: by Judy] .,ARG0,ARG0,True
42,Dan is shot by Suzanne.,Suzanne shoots Dan.,[],[],"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Dan] is [V: shot] [ARG0: by Suzanne] .,[],ARG0,False
43,Grace is shot by Barbara.,Barbara shoots Grace.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Barbara] [V: shoots] [ARG1: Grace] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Grace] is [V: shot] [ARG0: by Barbara] .,ARG0,ARG0,True
44,Benjamin is shot by Joseph.,Joseph shoots Benjamin.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Joseph] [V: shoots] [ARG1: Benjamin] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Benjamin] is [V: shot] [ARG0: by Joseph] .,ARG0,ARG0,True
45,Angela is shot by Heather.,Heather shoots Angela.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Heather] [V: shoots] [ARG1: Angela] .,"['B-ARG1', 'O', 'B-V', 'B-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG1: Angela] is [V: shot] [ARGM-MNR: by Heather] .,ARG0,ARGM-MNR,False
46,Carol is shot by Alexandra.,Alexandra shoots Carol.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Alexandra] [V: shoots] [ARG1: Carol] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Carol] is [V: shot] [ARG0: by Alexandra] .,ARG0,ARG0,True
47,Martin is shot by Ray.,Ray shoots Martin.,"['B-ARG0', 'B-V', 'B-ARG2', 'O']",[ARG0: Ray] [V: shoots] [ARG2: Martin] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Martin] is [V: shot] [ARG0: by Ray] .,ARG0,ARG0,True
48,Pamela is shot by Emma.,Emma shoots Pamela.,"['B-ARG0', 'B-V', 'B-ARG2', 'O']",[ARG0: Emma] [V: shoots] [ARG2: Pamela] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Pamela] is [V: shot] [ARG0: by Emma] .,ARG0,ARG0,True
49,Sara is shot by Alexandra.,Alexandra shoots Sara.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Alexandra] [V: shoots] [ARG1: Sara] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Sara] is [V: shot] [ARG0: by Alexandra] .,ARG0,ARG0,True
50,Jim is shot by Mary.,Mary shoots Jim.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Mary] [V: shoots] [ARG1: Jim] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Jim] is [V: shot] [ARG0: by Mary] .,ARG0,ARG0,True
51,Kelly is shot by Jason.,Jason shoots Kelly.,"['B-ARG0', 'B-V', 'B-ARG2', 'O']",[ARG0: Jason] [V: shoots] [ARG2: Kelly] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Kelly] is [V: shot] [ARG0: by Jason] .,ARG0,ARG0,True
52,Bruce is shot by Jonathan.,Jonathan shoots Bruce.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Jonathan] [V: shoots] [ARG1: Bruce] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Bruce] is [V: shot] [ARG0: by Jonathan] .,ARG0,ARG0,True
53,Daniel is shot by Karen.,Karen shoots Daniel.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Karen] [V: shoots] [ARG1: Daniel] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Daniel] is [V: shot] [ARG0: by Karen] .,ARG0,ARG0,True
54,Michael is shot by Sandra.,Sandra shoots Michael.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Sandra] [V: shoots] [ARG1: Michael] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Michael] is [V: shot] [ARG0: by Sandra] .,ARG0,ARG0,True
55,Carolyn is shot by Nancy.,Nancy shoots Carolyn.,[],[],"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Carolyn] is [V: shot] [ARG0: by Nancy] .,[],ARG0,False
56,Edwin is shot by Don.,Don shoots Edwin.,"['B-ARG0', 'B-V', 'B-ARG2', 'O']",[ARG0: Don] [V: shoots] [ARG2: Edwin] .,"['B-ARG1', 'O', 'B-V', 'B-ARG2', 'I-ARG2', 'O']",[ARG1: Edwin] is [V: shot] [ARG2: by Don] .,ARG0,ARG2,False
57,Jerry is shot by Charles.,Charles shoots Jerry.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Charles] [V: shoots] [ARG1: Jerry] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Jerry] is [V: shot] [ARG0: by Charles] .,ARG0,ARG0,True
58,Alexander is shot by Marie.,Marie shoots Alexander.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Marie] [V: shoots] [ARG1: Alexander] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Alexander] is [V: shot] [ARG0: by Marie] .,ARG0,ARG0,True
59,Matt is shot by Larry.,Larry shoots Matt.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Larry] [V: shoots] [ARG1: Matt] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Matt] is [V: shot] [ARG0: by Larry] .,ARG0,ARG0,True
60,Scott is shot by Bruce.,Bruce shoots Scott.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Bruce] [V: shoots] [ARG1: Scott] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Scott] is [V: shot] [ARG0: by Bruce] .,ARG0,ARG0,True
61,Arthur is shot by Lauren.,Lauren shoots Arthur.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Lauren] [V: shoots] [ARG1: Arthur] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Arthur] is [V: shot] [ARG0: by Lauren] .,ARG0,ARG0,True
62,Matt is shot by Catherine.,Catherine shoots Matt.,[],[],"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Matt] is [V: shot] [ARG0: by Catherine] .,[],ARG0,False
63,Frank is shot by Katherine.,Katherine shoots Frank.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Katherine] [V: shoots] [ARG1: Frank] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Frank] is [V: shot] [ARG0: by Katherine] .,ARG0,ARG0,True
64,Frank is shot by Eleanor.,Eleanor shoots Frank.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Eleanor] [V: shoots] [ARG1: Frank] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Frank] is [V: shot] [ARG0: by Eleanor] .,ARG0,ARG0,True
65,Kathleen is shot by Benjamin.,Benjamin shoots Kathleen.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Benjamin] [V: shoots] [ARG1: Kathleen] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Kathleen] is [V: shot] [ARG0: by Benjamin] .,ARG0,ARG0,True
66,Carol is shot by John.,John shoots Carol.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: John] [V: shoots] [ARG1: Carol] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Carol] is [V: shot] [ARG0: by John] .,ARG0,ARG0,True
67,Edith is shot by Tim.,Tim shoots Edith.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Tim] [V: shoots] [ARG1: Edith] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Edith] is [V: shot] [ARG0: by Tim] .,ARG0,ARG0,True
68,Sharon is shot by Amanda.,Amanda shoots Sharon.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Amanda] [V: shoots] [ARG1: Sharon] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Sharon] is [V: shot] [ARG0: by Amanda] .,ARG0,ARG0,True
69,Ann is shot by Ryan.,Ryan shoots Ann.,[],[],"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Ann] is [V: shot] [ARG0: by Ryan] .,[],ARG0,False
70,Louis is shot by Suzanne.,Suzanne shoots Louis.,[],[],"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Louis] is [V: shot] [ARG0: by Suzanne] .,[],ARG0,False
71,Bruce is shot by Martha.,Martha shoots Bruce.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Martha] [V: shoots] [ARG1: Bruce] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Bruce] is [V: shot] [ARG0: by Martha] .,ARG0,ARG0,True
72,James is shot by Francis.,Francis shoots James.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Francis] [V: shoots] [ARG1: James] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: James] is [V: shot] [ARG0: by Francis] .,ARG0,ARG0,True
73,Benjamin is shot by Jennifer.,Jennifer shoots Benjamin.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Jennifer] [V: shoots] [ARG1: Benjamin] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Benjamin] is [V: shot] [ARG0: by Jennifer] .,ARG0,ARG0,True
74,Mark is shot by Adam.,Adam shoots Mark.,"['B-ARG1', 'B-V', 'B-ARG2', 'O']",[ARG1: Adam] [V: shoots] [ARG2: Mark] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Mark] is [V: shot] [ARG0: by Adam] .,ARG1,ARG0,False
75,Ralph is shot by Alice.,Alice shoots Ralph.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Alice] [V: shoots] [ARG1: Ralph] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Ralph] is [V: shot] [ARG0: by Alice] .,ARG0,ARG0,True
76,Jean is shot by Suzanne.,Suzanne shoots Jean.,[],[],"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Jean] is [V: shot] [ARG0: by Suzanne] .,[],ARG0,False
77,Nancy is shot by Larry.,Larry shoots Nancy.,"['B-ARG1', 'B-V', 'B-ARGM-ADV', 'O']",[ARG1: Larry] [V: shoots] [ARGM-ADV: Nancy] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Nancy] is [V: shot] [ARG0: by Larry] .,ARG1,ARG0,False
78,Ben is shot by Wendy.,Wendy shoots Ben.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Wendy] [V: shoots] [ARG1: Ben] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Ben] is [V: shot] [ARG0: by Wendy] .,ARG0,ARG0,True
79,Jane is shot by Steven.,Steven shoots Jane.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Steven] [V: shoots] [ARG1: Jane] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Jane] is [V: shot] [ARG0: by Steven] .,ARG0,ARG0,True
80,Brian is shot by Jill.,Jill shoots Brian.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Jill] [V: shoots] [ARG1: Brian] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Brian] is [V: shot] [ARG0: by Jill] .,ARG0,ARG0,True
81,Walter is shot by Laura.,Laura shoots Walter.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Laura] [V: shoots] [ARG1: Walter] .,"['B-ARG1', 'O', 'B-V', 'B-ARG0', 'I-ARG0', 'O']",[ARG1: Walter] is [V: shot] [ARG0: by Laura] .,ARG0,ARG0,True
82,Edith is shot by Fiona.,Fiona shoots Edith.,"['B-ARG0', 'B-V', 'B-ARG1', 'O']",[ARG0: Fiona] [V: shoots] [ARG1: Edith] .,"['B-ARG1', 'O', 'B-V', 'B-ARGM-MNR', 'I-ARGM-MNR', 'O']",[ARG1: Edith] is [V: shot] [ARGM-MNR: by Fiona] .,ARG0,ARGM-MNR,False
